S_ID,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,ID,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Telco
127,@Bell @Raptors @nana_sharron YES!! This would be INCREDIBLE! Thank you for the #contest #Bell #WeTheNorth #NBAFinals <U+0001F3C0><U+0001F996><U+0001F60D><U+0001F525><U+0001F1E8><U+0001F1E6>,FALSE,0,Bell,2019-06-06 00:20,FALSE,1136372383890260000,1136427684655980000,38807340,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mitro80,0,FALSE,FALSE,NA,NA,Bell
632,17:20:57-<U+0001F4E3> #LosAngeles #Montebello #Whittier #HuntingtonPark #Bell #SouthGate #Compton #Downey #California https://t.co/frUp8L0hJN,FALSE,0,NA,2019-06-06 00:30,FALSE,NA,1136430246645780000,NA,"<a href=""https://www.facebook.com/DLsistemas"" rel=""nofollow"">TweetAutomaticos</a>",ClassifiedsCal,0,FALSE,FALSE,NA,NA,Bell
125,Found these in Las Vegas - they are missing one - Ring for Chocolate - smile. These could be great fun or a real nu‡ https://t.co/DRaI9WKsXJ,FALSE,8,NA,2019-06-06 00:46,TRUE,NA,1136434030843490000,NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",lovetravelingto,2,FALSE,FALSE,NA,NA,Bell
467,Enchanted rose; cake topper;Rose topper Elegant birthday topper; Beauty and the beast topper; Custom name;Custom nu‡ https://t.co/yjv6eAkz6R,FALSE,0,NA,2019-06-06 01:01,TRUE,NA,1136437990719390000,NA,"<a href=""http://www.etsy.com"" rel=""nofollow"">Etsy</a>",hourcustoms,0,FALSE,FALSE,NA,NA,Bell
121,Check out #Off-white #Bell Shape #Trumpet Skirt. #Ameynra Design. #Size M; #New #Handcrafted #Casual https://t.co/iRtmEuBCcl via @eBay,FALSE,1,NA,2019-06-06 01:21,FALSE,NA,1136443042087420000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MikeBugayev,2,FALSE,FALSE,NA,NA,Bell
627,@Bell_Support I'm trying to watch the game. What am I paying you guys for?? I have to now find other methods to wat‡ https://t.co/UQcSkTkLmx,FALSE,1,Bell_Support,2019-06-06 01:22,TRUE,NA,1136443171095890000,224651449,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",JSNJAY,0,FALSE,FALSE,NA,NA,Bell
2000,@Bell @Raptors @savvmartin,FALSE,0,Bell,2019-06-06 02:13,FALSE,1136372383890260000,1136456152621990000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KierBoudreau,0,FALSE,FALSE,NA,NA,Bell
1999,@Bell @Raptors @monsandhu_,FALSE,1,Bell,2019-06-06 02:14,FALSE,1136372383890260000,1136456267197750000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",reena_mistryy,0,FALSE,FALSE,NA,NA,Bell
1998,@Bell @Raptors @CadyIppy,FALSE,0,Bell,2019-06-06 02:14,FALSE,1136372383890260000,1136456300722830000,38807340,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",joshtqyu,0,FALSE,FALSE,NA,NA,Bell
1997,@Bell @Raptors yes please! @Manabouttownn <U+0001F917>,FALSE,0,Bell,2019-06-06 02:15,FALSE,1136372383890260000,1136456631057820000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DEWlicious1,0,FALSE,FALSE,NA,NA,Bell
1996,RT @foreverlys: @Bell @Raptors I nominate @Paris__G; and let him take his daughter with him!,FALSE,0,NA,2019-06-06 02:16,FALSE,NA,1136456743100320000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Paris__G,1,TRUE,FALSE,NA,NA,Bell
1995,@Bell @Raptors ...us please! <U+0001F917> @RitaGeee,FALSE,0,Bell,2019-06-06 02:16,FALSE,1136372383890260000,1136456825753290000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DEWlicious1,0,FALSE,FALSE,NA,NA,Bell
1994,@Bell @Raptors @AshleeWiott  this would be rad to get to see an #NBAFinals game!!! Always dreamed of going!,FALSE,1,Bell,2019-06-06 02:16,FALSE,1136372383890260000,1136456838319410000,38807340,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shainamcf,0,FALSE,FALSE,NA,NA,Bell
1993,@Bell @Raptors We∆d LOVE to be there! @LaLaDEWKnight <U+0001F60D><U+0001F3C0>,FALSE,0,Bell,2019-06-06 02:17,FALSE,1136372383890260000,1136457008650080000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DEWlicious1,0,FALSE,FALSE,NA,NA,Bell
1992,@Bell @Raptors @fuckmylifesir,FALSE,0,Bell,2019-06-06 02:17,FALSE,1136372383890260000,1136457062123230000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hailstones135,0,FALSE,FALSE,NA,NA,Bell
1991,@Bell @Raptors @hailstones135,FALSE,0,Bell,2019-06-06 02:18,FALSE,1136372383890260000,1136457177764360000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fuckmylifesir,0,FALSE,FALSE,NA,NA,Bell
1990,@Bell @Raptors . @LetsMACthis <U+0001F917><U+0001F3C0><U+0001F60D>,FALSE,0,Bell,2019-06-06 02:18,FALSE,1136372383890260000,1136457203102150000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DEWlicious1,1,FALSE,FALSE,NA,NA,Bell
1989,@Bell @Raptors @SelPiz22,FALSE,0,Bell,2019-06-06 02:18,FALSE,1136372383890260000,1136457205723650000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mariapizzuto,0,FALSE,FALSE,NA,NA,Bell
1988,@Bell @Raptors @Kassy_Arroba you know I∆m trying,FALSE,1,Bell,2019-06-06 02:18,FALSE,1136372383890260000,1136457327119330000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",nateham00,0,FALSE,FALSE,NA,NA,Bell
1987,@Bell @Raptors @JoeMcGuinness7 <U+0001F996><U+0001F3C0> #WeTheNorth #NBAFinals LET∆S GO RAPTORS!,FALSE,1,Bell,2019-06-06 02:19,FALSE,1136372383890260000,1136457458837270000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",_LaurenMoore13,1,FALSE,FALSE,NA,NA,Bell
1986,RT @_LaurenMoore13: @Bell @Raptors @JoeMcGuinness7 <U+0001F996><U+0001F3C0> #WeTheNorth #NBAFinals LET∆S GO RAPTORS!,FALSE,0,NA,2019-06-06 02:19,FALSE,NA,1136457511182240000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JoeMcGuinness7,1,TRUE,FALSE,NA,NA,Bell
1985,@Bell @Raptors @ACHarris_  <U+0001F91D>,FALSE,1,Bell,2019-06-06 02:19,FALSE,1136372383890260000,1136457553989300000,38807340,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Brenny_Bren,0,FALSE,FALSE,NA,NA,Bell
1984,@Bell @Raptors @ctiger001,FALSE,0,Bell,2019-06-06 02:19,FALSE,1136372383890260000,1136457564500230000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",wordcloud27,0,FALSE,FALSE,NA,NA,Bell
1983,@Bell @Raptors @MerlyInnocent I want to go,FALSE,0,Bell,2019-06-06 02:19,FALSE,1136372383890260000,1136457584297330000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BMG0321,0,FALSE,FALSE,NA,NA,Bell
1982,@melo_ello_ @Bell @Raptors i'll do something embarrassing and funny but also family friendly and tasteful on the jumbotron!! PLEASE??!?!,FALSE,0,melo_ello_,2019-06-06 02:19,FALSE,1136448309646810000,1136457612411700000,70579026,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mmmegan,0,FALSE,FALSE,NA,NA,Bell
1980,@Bell @Raptors @DimitrinaStanc4,FALSE,1,Bell,2019-06-06 02:19,FALSE,1136372383890260000,1136457660033880000,38807340,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",raptafan,0,FALSE,FALSE,NA,NA,Bell
1979,@Bell @Raptors Tagging @JR6JR6,FALSE,0,Bell,2019-06-06 02:20,FALSE,1136372383890260000,1136457689159090000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",laurelwalzak,0,FALSE,FALSE,NA,NA,Bell
1978,@Bell @Raptors @erixkuboki,FALSE,0,Bell,2019-06-06 02:20,FALSE,1136372383890260000,1136457749955510000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",emaanqaaazi,0,FALSE,FALSE,NA,NA,Bell
1977,@Bell @Raptors @Bazurke,FALSE,0,Bell,2019-06-06 02:20,FALSE,1136372383890260000,1136457793211440000,38807340,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",burkie89,0,FALSE,FALSE,NA,NA,Bell
1976,@Bell @Raptors @RealVigilant,FALSE,0,Bell,2019-06-06 02:20,FALSE,1136372383890260000,1136457822324080000,38807340,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ColinLGlover,0,FALSE,FALSE,NA,NA,Bell
