S_ID,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,ID,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Telco
1098,Nearly 2 full weeks of @Rogers Ignite outage...It∆s a good thing the @Raptors aren∆t in the NBA Finals for the firs‡ https://t.co/jNn0JZC5Bt,FALSE,1,NA,2019-05-31 00:10,TRUE,NA,1134250864074520000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JamieEh16,1,FALSE,FALSE,NA,NA,Rogers
927,RT @SassyModernMom: Movie night! Not sure what to watch?  Just ask your @Rogers remote! Say your favourite movie quote into the voice activ‡,FALSE,0,NA,2019-05-31 00:13,FALSE,NA,1134251398143460000,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cchicki,1,TRUE,FALSE,NA,NA,Rogers
1096,Well @Rogers sure taught me a good lesson today; no matter how loyal you are to these major corporations they still‡ https://t.co/Nc7nq4FpCy,FALSE,0,NA,2019-05-31 00:24,TRUE,NA,1134254316485610000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",schaps49,0,FALSE,FALSE,NA,NA,Rogers
925,@Rogers Hey Rogers; is there any upcoming promotions for Canada Day?,FALSE,0,Rogers,2019-05-31 00:27,FALSE,1128037175856120000,1134255077395450000,82643620,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HappyCanadian3,0,FALSE,FALSE,NA,NA,Rogers
96,@Rogers Thanks for having anyplaceTV not work before the big game.  Perfect timing to screw it up,FALSE,2,Rogers,2019-05-31 00:33,FALSE,NA,1134256573172340000,82643620,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",JimBoblif,1,FALSE,FALSE,NA,NA,Rogers
294,@SteveStax @timandsid Feels good promoting that; eh bud? #Rogers,FALSE,1,SteveStax,2019-05-31 00:53,FALSE,1134256762163530000,1134261699207470000,93460552,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Matt_Dips,0,FALSE,FALSE,NA,NA,Rogers
923,@Rogers @RogersMediaPR @JohnTory @cityoftoronto #equity #accessibility #hardship #answersneeded #unfair https://t.co/ulWw3P6jGT,FALSE,0,Rogers,2019-05-31 00:54,FALSE,NA,1134261816337600000,82643620,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Barnesteaching,0,FALSE,FALSE,NA,NA,Rogers
94,@Rogers I swear to god you better stop cutting out the raptors game feed. Richmond Hill will hate you forever. Get it together.,FALSE,2,Rogers,2019-05-31 00:57,FALSE,NA,1134262702111640000,82643620,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bubsy93,1,FALSE,FALSE,NA,NA,Rogers
1088,RT @bubsy93: @Rogers I swear to god you better stop cutting out the raptors game feed. Richmond Hill will hate you forever. Get it together.,FALSE,0,NA,2019-05-31 01:08,FALSE,NA,1134265409086130000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rob_Himself_,1,TRUE,FALSE,NA,NA,Rogers
92,RT @JimBoblif: @Rogers Thanks for having anyplaceTV not work before the big game.  Perfect timing to screw it up,FALSE,0,NA,2019-05-31 01:08,FALSE,NA,1134265462404120000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rob_Himself_,1,TRUE,FALSE,NA,NA,Rogers
1086,@Sportsnet @Rogers  I pay all year for this fucking moment. Why is it now stuttering; buffering; stopping; freezing‡ https://t.co/haPsyyRE2N,FALSE,2,Sportsnet,2019-05-31 01:09,TRUE,NA,1134265486240140000,21660529,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",grouchydadda,0,FALSE,FALSE,NA,NA,Rogers
915,RT @JamieEh16: Nearly 2 full weeks of @Rogers Ignite outage...It∆s a good thing the @Raptors aren∆t in the NBA Finals for the first time in‡,FALSE,0,NA,2019-05-31 01:09,FALSE,NA,1134265543794530000,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Rob_Himself_,1,TRUE,FALSE,NA,NA,Rogers
1084,When @Bell contractors cut your cable and @Rogers can∆t fix it until Saturday ... very sad kids here trying to watc‡ https://t.co/W8aij3iNcG,FALSE,9,NA,2019-05-31 01:18,TRUE,NA,1134267816532680000,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cportelli74,0,FALSE,FALSE,NA,NA,Rogers
913,@natnewswatch @IvisonJ The @nationalpost is the Fox News of the Canadian Press. ALMOST EVERY SINGLE ARTICLE that po‡ https://t.co/nEu3MGeO1Y,FALSE,11,natnewswatch,2019-05-31 01:19,TRUE,1134245748156090000,1134268128664250000,16161679,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",c_vanbc,1,FALSE,FALSE,NA,NA,Rogers
1082,@Rogers any chance at an early upgrade...?  My Huawei P10 appears to be malfunctioning...,FALSE,0,Rogers,2019-05-31 01:21,FALSE,NA,1134268604411710000,82643620,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",McFarlane,0,FALSE,FALSE,NA,NA,Rogers
1080,@natnewswatch @IvisonJ @nationalpost @Rogers I∆m not a fan of any political party in Canada but come on; tell the n‡ https://t.co/1S6ZLORGXg,FALSE,2,c_vanbc,2019-05-31 01:23,TRUE,1134268128664250000,1134269159552950000,1104595572,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",c_vanbc,0,FALSE,FALSE,NA,NA,Rogers
1078,@Rogers @Raptors Richmond Hill TVs are cutting out for the game. Ridiculous. Fix it,FALSE,0,Rogers,2019-05-31 01:27,FALSE,1134152084306220000,1134270065459770000,82643620,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bubsy93,0,FALSE,FALSE,NA,NA,Rogers
